,params,precisions,recalls,f1_scores,accuracy,aucs
447,"['goss', 20, 5, 0.001, 50]",0.108571429,0.662790698,0.186579378,0.658653846,0.659968596
111,"['gbdt', 30, 5, 0.001, 50]",0.107954545,0.662790698,0.185667752,0.656593407,0.659968596
159,"['gbdt', 40, 5, 0.001, 50]",0.107954545,0.662790698,0.185667752,0.656593407,0.659968596
495,"['goss', 30, 5, 0.001, 50]",0.107954545,0.662790698,0.185667752,0.656593407,0.659968596
543,"['goss', 40, 5, 0.001, 50]",0.107954545,0.662790698,0.185667752,0.656593407,0.659968596
211,"['dart', 10, 5, 0.01, 100]",0.115942029,0.465116279,0.185614849,0.758928571,0.659968596
255,"['dart', 20, 5, 0.001, 50]",0.107407407,0.674418605,0.185303514,0.649725275,0.659968596
126,"['gbdt', 30, 7, 0.01, 50]",0.119863014,0.406976744,0.185185185,0.788461538,0.659968596
510,"['goss', 30, 7, 0.01, 50]",0.119863014,0.406976744,0.185185185,0.788461538,0.659968596
304,"['dart', 30, 5, 0.001, 100]",0.10754717,0.662790698,0.185064935,0.65521978,0.659968596
352,"['dart', 40, 5, 0.001, 100]",0.10754717,0.662790698,0.185064935,0.65521978,0.659968596
9,"['gbdt', 10, 3, 0.1, 50]",0.129032258,0.325581395,0.184818482,0.830357143,0.659968596
57,"['gbdt', 20, 3, 0.1, 50]",0.129032258,0.325581395,0.184818482,0.830357143,0.659968596
105,"['gbdt', 30, 3, 0.1, 50]",0.129032258,0.325581395,0.184818482,0.830357143,0.659968596
153,"['gbdt', 40, 3, 0.1, 50]",0.129032258,0.325581395,0.184818482,0.830357143,0.659968596
199,"['dart', 10, 3, 0.01, 100]",0.108,0.627906977,0.184300341,0.671703297,0.659968596
247,"['dart', 20, 3, 0.01, 100]",0.108,0.627906977,0.184300341,0.671703297,0.659968596
295,"['dart', 30, 3, 0.01, 100]",0.108,0.627906977,0.184300341,0.671703297,0.659968596
343,"['dart', 40, 3, 0.01, 100]",0.108,0.627906977,0.184300341,0.671703297,0.659968596
166,"['gbdt', 40, 5, 0.1, 100]",0.194805195,0.174418605,0.18404908,0.908653846,0.659968596
84,"['gbdt', 20, 10, 0.0001, 50]",0.115853659,0.441860465,0.183574879,0.767857143,0.659968596
85,"['gbdt', 20, 10, 0.0001, 100]",0.115853659,0.441860465,0.183574879,0.767857143,0.659968596
86,"['gbdt', 20, 10, 0.0001, 150]",0.115853659,0.441860465,0.183574879,0.767857143,0.659968596
276,"['dart', 20, 10, 0.0001, 50]",0.115853659,0.441860465,0.183574879,0.767857143,0.659968596
277,"['dart', 20, 10, 0.0001, 100]",0.115853659,0.441860465,0.183574879,0.767857143,0.659968596
278,"['dart', 20, 10, 0.0001, 150]",0.115853659,0.441860465,0.183574879,0.767857143,0.659968596
468,"['goss', 20, 10, 0.0001, 50]",0.115853659,0.441860465,0.183574879,0.767857143,0.659968596
469,"['goss', 20, 10, 0.0001, 100]",0.115853659,0.441860465,0.183574879,0.767857143,0.659968596
470,"['goss', 20, 10, 0.0001, 150]",0.115853659,0.441860465,0.183574879,0.767857143,0.659968596
198,"['dart', 10, 3, 0.01, 50]",0.107355865,0.627906977,0.18336163,0.669642857,0.659968596
246,"['dart', 20, 3, 0.01, 50]",0.107355865,0.627906977,0.18336163,0.669642857,0.659968596
294,"['dart', 30, 3, 0.01, 50]",0.107355865,0.627906977,0.18336163,0.669642857,0.659968596
342,"['dart', 40, 3, 0.01, 50]",0.107355865,0.627906977,0.18336163,0.669642857,0.659968596
272,"['dart', 20, 7, 0.01, 150]",0.119298246,0.395348837,0.18328841,0.791895604,0.659968596
200,"['dart', 10, 3, 0.01, 150]",0.107070707,0.61627907,0.182444062,0.673763736,0.659968596
248,"['dart', 20, 3, 0.01, 150]",0.107070707,0.61627907,0.182444062,0.673763736,0.659968596
296,"['dart', 30, 3, 0.01, 150]",0.107070707,0.61627907,0.182444062,0.673763736,0.659968596
344,"['dart', 40, 3, 0.01, 150]",0.107070707,0.61627907,0.182444062,0.673763736,0.659968596
180,"['gbdt', 40, 10, 0.0001, 50]",0.126696833,0.325581395,0.182410423,0.82760989,0.659968596
372,"['dart', 40, 10, 0.0001, 50]",0.126696833,0.325581395,0.182410423,0.82760989,0.659968596
373,"['dart', 40, 10, 0.0001, 100]",0.126696833,0.325581395,0.182410423,0.82760989,0.659968596
374,"['dart', 40, 10, 0.0001, 150]",0.126696833,0.325581395,0.182410423,0.82760989,0.659968596
564,"['goss', 40, 10, 0.0001, 50]",0.126696833,0.325581395,0.182410423,0.82760989,0.659968596
303,"['dart', 30, 5, 0.001, 50]",0.105263158,0.674418605,0.182103611,0.64217033,0.659968596
351,"['dart', 40, 5, 0.001, 50]",0.105263158,0.674418605,0.182103611,0.64217033,0.659968596
270,"['dart', 20, 7, 0.01, 50]",0.117056856,0.406976744,0.181818182,0.783653846,0.659968596
258,"['dart', 20, 5, 0.01, 50]",0.114906832,0.430232558,0.181372549,0.770604396,0.659968596
203,"['dart', 10, 3, 0.1, 150]",0.128078818,0.302325581,0.179930796,0.837225275,0.659968596
251,"['dart', 20, 3, 0.1, 150]",0.128078818,0.302325581,0.179930796,0.837225275,0.659968596
299,"['dart', 30, 3, 0.1, 150]",0.128078818,0.302325581,0.179930796,0.837225275,0.659968596
347,"['dart', 40, 3, 0.1, 150]",0.128078818,0.302325581,0.179930796,0.837225275,0.659968596
60,"['gbdt', 20, 5, 0.0001, 50]",0.103386809,0.674418605,0.179289026,0.635302198,0.659968596
61,"['gbdt', 20, 5, 0.0001, 100]",0.103386809,0.674418605,0.179289026,0.635302198,0.659968596
62,"['gbdt', 20, 5, 0.0001, 150]",0.103386809,0.674418605,0.179289026,0.635302198,0.659968596
108,"['gbdt', 30, 5, 0.0001, 50]",0.103386809,0.674418605,0.179289026,0.635302198,0.659968596
109,"['gbdt', 30, 5, 0.0001, 100]",0.103386809,0.674418605,0.179289026,0.635302198,0.659968596
110,"['gbdt', 30, 5, 0.0001, 150]",0.103386809,0.674418605,0.179289026,0.635302198,0.659968596
