,params,precisions,recalls,f1_scores,accuracy,coef_s,aucs
29,"[0.060000000000000005, 'sigmoid', 'scale', 'ovr', False]",0.077445652,0.662790698,0.138686131,0.513736264,coefs,0.659968596
186,"[0.56, 'rbf', 'auto', 'ovr', True]",0.2,0.104651163,0.13740458,0.92239011,coefs,0.659968596
187,"[0.56, 'rbf', 'auto', 'ovr', False]",0.2,0.104651163,0.13740458,0.92239011,coefs,0.659968596
202,"[0.6100000000000001, 'rbf', 'auto', 'ovr', True]",0.2,0.104651163,0.13740458,0.92239011,coefs,0.659968596
203,"[0.6100000000000001, 'rbf', 'auto', 'ovr', False]",0.2,0.104651163,0.13740458,0.92239011,coefs,0.659968596
218,"[0.66, 'rbf', 'auto', 'ovr', True]",0.2,0.104651163,0.13740458,0.92239011,coefs,0.659968596
219,"[0.66, 'rbf', 'auto', 'ovr', False]",0.2,0.104651163,0.13740458,0.92239011,coefs,0.659968596
234,"[0.7100000000000001, 'rbf', 'auto', 'ovr', True]",0.2,0.104651163,0.13740458,0.92239011,coefs,0.659968596
235,"[0.7100000000000001, 'rbf', 'auto', 'ovr', False]",0.2,0.104651163,0.13740458,0.92239011,coefs,0.659968596
250,"[0.76, 'rbf', 'auto', 'ovr', True]",0.2,0.104651163,0.13740458,0.92239011,coefs,0.659968596
251,"[0.76, 'rbf', 'auto', 'ovr', False]",0.2,0.104651163,0.13740458,0.92239011,coefs,0.659968596
282,"[0.8600000000000001, 'rbf', 'auto', 'ovr', True]",0.2,0.104651163,0.13740458,0.92239011,coefs,0.659968596
283,"[0.8600000000000001, 'rbf', 'auto', 'ovr', False]",0.2,0.104651163,0.13740458,0.92239011,coefs,0.659968596
266,"[0.81, 'rbf', 'auto', 'ovr', True]",0.195652174,0.104651163,0.136363636,0.921703297,coefs,0.659968596
267,"[0.81, 'rbf', 'auto', 'ovr', False]",0.195652174,0.104651163,0.136363636,0.921703297,coefs,0.659968596
44,"[0.11, 'sigmoid', 'scale', 'ovr', True]",0.072580645,0.627906977,0.130120482,0.504120879,coefs,0.659968596
45,"[0.11, 'sigmoid', 'scale', 'ovr', False]",0.072580645,0.627906977,0.130120482,0.504120879,coefs,0.659968596
84,"[0.26, 'poly', 'scale', 'ovr', True]",0.117647059,0.139534884,0.127659574,0.887362637,coefs,0.659968596
85,"[0.26, 'poly', 'scale', 'ovr', False]",0.117647059,0.139534884,0.127659574,0.887362637,coefs,0.659968596
76,"[0.21000000000000002, 'sigmoid', 'scale', 'ovr', True]",0.070844687,0.604651163,0.126829268,0.508241758,coefs,0.659968596
77,"[0.21000000000000002, 'sigmoid', 'scale', 'ovr', False]",0.070844687,0.604651163,0.126829268,0.508241758,coefs,0.659968596
56,"[0.16000000000000003, 'rbf', 'scale', 'ovr', True]",0.138888889,0.11627907,0.126582278,0.90521978,coefs,0.659968596
57,"[0.16000000000000003, 'rbf', 'scale', 'ovr', False]",0.138888889,0.11627907,0.126582278,0.90521978,coefs,0.659968596
60,"[0.16000000000000003, 'sigmoid', 'scale', 'ovr', True]",0.070460705,0.604651163,0.126213592,0.505494505,coefs,0.659968596
61,"[0.16000000000000003, 'sigmoid', 'scale', 'ovr', False]",0.070460705,0.604651163,0.126213592,0.505494505,coefs,0.659968596
124,"[0.36000000000000004, 'sigmoid', 'scale', 'ovr', True]",0.069156293,0.581395349,0.123609394,0.513049451,coefs,0.659968596
125,"[0.36000000000000004, 'sigmoid', 'scale', 'ovr', False]",0.069156293,0.581395349,0.123609394,0.513049451,coefs,0.659968596
108,"[0.31000000000000005, 'sigmoid', 'scale', 'ovr', True]",0.068965517,0.581395349,0.123304562,0.511675824,coefs,0.659968596
109,"[0.31000000000000005, 'sigmoid', 'scale', 'ovr', False]",0.068965517,0.581395349,0.123304562,0.511675824,coefs,0.659968596
142,"[0.41000000000000003, 'sigmoid', 'auto', 'ovr', True]",0.065716548,0.965116279,0.123054114,0.1875,coefs,0.659968596
143,"[0.41000000000000003, 'sigmoid', 'auto', 'ovr', False]",0.065716548,0.965116279,0.123054114,0.1875,coefs,0.659968596
156,"[0.46, 'sigmoid', 'scale', 'ovr', True]",0.068723703,0.569767442,0.122653317,0.518543956,coefs,0.659968596
157,"[0.46, 'sigmoid', 'scale', 'ovr', False]",0.068723703,0.569767442,0.122653317,0.518543956,coefs,0.659968596
92,"[0.26, 'sigmoid', 'scale', 'ovr', True]",0.068306011,0.581395349,0.122249389,0.506868132,coefs,0.659968596
93,"[0.26, 'sigmoid', 'scale', 'ovr', False]",0.068306011,0.581395349,0.122249389,0.506868132,coefs,0.659968596
316,"[0.9600000000000001, 'sigmoid', 'scale', 'ovr', True]",0.068473609,0.558139535,0.121982211,0.525412088,coefs,0.659968596
317,"[0.9600000000000001, 'sigmoid', 'scale', 'ovr', False]",0.068473609,0.558139535,0.121982211,0.525412088,coefs,0.659968596
140,"[0.41000000000000003, 'sigmoid', 'scale', 'ovr', True]",0.068055556,0.569767442,0.121588089,0.513736264,coefs,0.659968596
141,"[0.41000000000000003, 'sigmoid', 'scale', 'ovr', False]",0.068055556,0.569767442,0.121588089,0.513736264,coefs,0.659968596
300,"[0.91, 'sigmoid', 'scale', 'ovr', True]",0.068181818,0.558139535,0.121518987,0.523351648,coefs,0.659968596
301,"[0.91, 'sigmoid', 'scale', 'ovr', False]",0.068181818,0.558139535,0.121518987,0.523351648,coefs,0.659968596
252,"[0.76, 'sigmoid', 'scale', 'ovr', True]",0.068085106,0.558139535,0.12136536,0.522664835,coefs,0.659968596
253,"[0.76, 'sigmoid', 'scale', 'ovr', False]",0.068085106,0.558139535,0.12136536,0.522664835,coefs,0.659968596
268,"[0.81, 'sigmoid', 'scale', 'ovr', True]",0.068085106,0.558139535,0.12136536,0.522664835,coefs,0.659968596
269,"[0.81, 'sigmoid', 'scale', 'ovr', False]",0.068085106,0.558139535,0.12136536,0.522664835,coefs,0.659968596
284,"[0.8600000000000001, 'sigmoid', 'scale', 'ovr', True]",0.068085106,0.558139535,0.12136536,0.522664835,coefs,0.659968596
285,"[0.8600000000000001, 'sigmoid', 'scale', 'ovr', False]",0.068085106,0.558139535,0.12136536,0.522664835,coefs,0.659968596
236,"[0.7100000000000001, 'sigmoid', 'scale', 'ovr', True]",0.067988669,0.558139535,0.121212121,0.521978022,coefs,0.659968596
237,"[0.7100000000000001, 'sigmoid', 'scale', 'ovr', False]",0.067988669,0.558139535,0.121212121,0.521978022,coefs,0.659968596
220,"[0.66, 'sigmoid', 'scale', 'ovr', True]",0.067892504,0.558139535,0.121059269,0.521291209,coefs,0.659968596
221,"[0.66, 'sigmoid', 'scale', 'ovr', False]",0.067892504,0.558139535,0.121059269,0.521291209,coefs,0.659968596
68,"[0.21000000000000002, 'poly', 'scale', 'ovr', True]",0.100775194,0.151162791,0.120930233,0.870192308,coefs,0.659968596
69,"[0.21000000000000002, 'poly', 'scale', 'ovr', False]",0.100775194,0.151162791,0.120930233,0.870192308,coefs,0.659968596
172,"[0.51, 'sigmoid', 'scale', 'ovr', True]",0.06779661,0.558139535,0.120906801,0.520604396,coefs,0.659968596
