,Threshold,f1_score,recall_score,precision_scores,accuracy_scores,True Positive,False Negative,False Positive
206,10.3,0.0,0.0,0.0,0.9405,0,238,0
207,10.350000000000001,0.0,0.0,0.0,0.9405,0,238,0
208,10.4,0.0,0.0,0.0,0.9405,0,238,0
209,10.450000000000001,0.0,0.0,0.0,0.9405,0,238,0
210,10.5,0.0,0.0,0.0,0.9405,0,238,0
211,10.55,0.0,0.0,0.0,0.9405,0,238,0
212,10.600000000000001,0.0,0.0,0.0,0.9405,0,238,0
213,10.65,0.0,0.0,0.0,0.9405,0,238,0
214,10.700000000000001,0.0,0.0,0.0,0.9405,0,238,0
215,10.75,0.0,0.0,0.0,0.9405,0,238,0
216,10.8,0.0,0.0,0.0,0.9405,0,238,0
217,10.850000000000001,0.0,0.0,0.0,0.9405,0,238,0
218,10.9,0.0,0.0,0.0,0.9405,0,238,0
219,10.950000000000001,0.0,0.0,0.0,0.9405,0,238,0
220,11.0,0.0,0.0,0.0,0.9405,0,238,0
221,11.05,0.0,0.0,0.0,0.9405,0,238,0
222,11.100000000000001,0.0,0.0,0.0,0.9405,0,238,0
223,11.15,0.0,0.0,0.0,0.9405,0,238,0
224,11.200000000000001,0.0,0.0,0.0,0.9405,0,238,0
225,11.25,0.0,0.0,0.0,0.9405,0,238,0
226,11.3,0.0,0.0,0.0,0.9405,0,238,0
227,11.350000000000001,0.0,0.0,0.0,0.9405,0,238,0
228,11.4,0.0,0.0,0.0,0.9405,0,238,0
229,11.450000000000001,0.0,0.0,0.0,0.9405,0,238,0
230,11.5,0.0,0.0,0.0,0.9405,0,238,0
231,11.55,0.0,0.0,0.0,0.9405,0,238,0
232,11.600000000000001,0.0,0.0,0.0,0.9405,0,238,0
233,11.65,0.0,0.0,0.0,0.9405,0,238,0
234,11.700000000000001,0.0,0.0,0.0,0.9405,0,238,0
235,11.75,0.0,0.0,0.0,0.9405,0,238,0
236,11.8,0.0,0.0,0.0,0.9405,0,238,0
237,11.850000000000001,0.0,0.0,0.0,0.9405,0,238,0
238,11.9,0.0,0.0,0.0,0.9405,0,238,0
239,11.950000000000001,0.0,0.0,0.0,0.9405,0,238,0
240,12.0,0.0,0.0,0.0,0.9405,0,238,0
241,12.05,0.0,0.0,0.0,0.9405,0,238,0
242,12.100000000000001,0.0,0.0,0.0,0.9405,0,238,0
243,12.15,0.0,0.0,0.0,0.9405,0,238,0
244,12.200000000000001,0.0,0.0,0.0,0.9405,0,238,0
245,12.25,0.0,0.0,0.0,0.9405,0,238,0
246,12.3,0.0,0.0,0.0,0.9405,0,238,0
247,12.350000000000001,0.0,0.0,0.0,0.9405,0,238,0
248,12.4,0.0,0.0,0.0,0.9405,0,238,0
249,12.450000000000001,0.0,0.0,0.0,0.9405,0,238,0
250,12.5,0.0,0.0,0.0,0.9405,0,238,0
251,12.55,0.0,0.0,0.0,0.9405,0,238,0
252,12.600000000000001,0.0,0.0,0.0,0.9405,0,238,0
253,12.65,0.0,0.0,0.0,0.9405,0,238,0
254,12.700000000000001,0.0,0.0,0.0,0.9405,0,238,0
255,12.75,0.0,0.0,0.0,0.9405,0,238,0
256,12.8,0.0,0.0,0.0,0.9405,0,238,0
257,12.850000000000001,0.0,0.0,0.0,0.9405,0,238,0
258,12.9,0.0,0.0,0.0,0.9405,0,238,0
259,12.950000000000001,0.0,0.0,0.0,0.9405,0,238,0
260,13.0,0.0,0.0,0.0,0.9405,0,238,0
261,13.05,0.0,0.0,0.0,0.9405,0,238,0
262,13.100000000000001,0.0,0.0,0.0,0.9405,0,238,0
263,13.15,0.0,0.0,0.0,0.9405,0,238,0
264,13.200000000000001,0.0,0.0,0.0,0.9405,0,238,0
265,13.25,0.0,0.0,0.0,0.9405,0,238,0
266,13.3,0.0,0.0,0.0,0.9405,0,238,0
267,13.350000000000001,0.0,0.0,0.0,0.9405,0,238,0
268,13.4,0.0,0.0,0.0,0.9405,0,238,0
269,13.450000000000001,0.0,0.0,0.0,0.9405,0,238,0
270,13.5,0.0,0.0,0.0,0.9405,0,238,0
271,13.55,0.0,0.0,0.0,0.9405,0,238,0
272,13.600000000000001,0.0,0.0,0.0,0.9405,0,238,0
273,13.65,0.0,0.0,0.0,0.9405,0,238,0
274,13.700000000000001,0.0,0.0,0.0,0.9405,0,238,0
275,13.75,0.0,0.0,0.0,0.9405,0,238,0
276,13.8,0.0,0.0,0.0,0.9405,0,238,0
277,13.850000000000001,0.0,0.0,0.0,0.9405,0,238,0
278,13.9,0.0,0.0,0.0,0.9405,0,238,0
279,13.950000000000001,0.0,0.0,0.0,0.9405,0,238,0
280,14.0,0.0,0.0,0.0,0.9405,0,238,0
281,14.05,0.0,0.0,0.0,0.9405,0,238,0
282,14.100000000000001,0.0,0.0,0.0,0.9405,0,238,0
283,14.15,0.0,0.0,0.0,0.9405,0,238,0
284,14.200000000000001,0.0,0.0,0.0,0.9405,0,238,0
285,14.25,0.0,0.0,0.0,0.9405,0,238,0
286,14.3,0.0,0.0,0.0,0.9405,0,238,0
287,14.350000000000001,0.0,0.0,0.0,0.9405,0,238,0
288,14.4,0.0,0.0,0.0,0.9405,0,238,0
289,14.450000000000001,0.0,0.0,0.0,0.9405,0,238,0
290,14.5,0.0,0.0,0.0,0.9405,0,238,0
291,14.55,0.0,0.0,0.0,0.9405,0,238,0
292,14.600000000000001,0.0,0.0,0.0,0.9405,0,238,0
293,14.65,0.0,0.0,0.0,0.9405,0,238,0
294,14.700000000000001,0.0,0.0,0.0,0.9405,0,238,0
